review,subtheme_1,subtheme_2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaned_review,subthemes,subtheme_sentiments
"Tires where delivered to the garage of my choice,the garage notified me when they had been delivered. A day and time was arranged with the garage and I went and had them fitted,a Hassel free experience.",garage service positive,ease of booking positive,,,,,,,,,,,,,"tire delivered garage choice , garage notified delivered . day time arranged garage went fitted , hassel free experience .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Easy Tyre Selection Process, Competitive Pricing and Excellent Fitting Service",garage service positive,value for money positive,,,,,,,,,,,,,"easy tyre selection process , competitive pricing excellent fitting service","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very easy to use and good value for money.,value for money positive,,,,,,,,,,,,,,easy use good value money .,[],[]
Really easy and convenient to arrange,ease of booking positive,,,,,,,,,,,,,,really easy convenient arrange,[],[]
It was so easy to select tyre sizes and arrange local fitting. The prices were competitive,location positive,value for money positive,ease of booking positive,,,,,,,,,,,,easy select tyre size arrange local fitting . price competitive,[],[]
service was excellent. Only slight downside was not knowing exact time at garage although the garage were so quick so I wasn't delayed,length of fitting positive,ease of booking positive,ease of booking negative,,,,,,,,,,,,service excellent . slight downside knowing exact time garage although garage quick n't delayed,"[('Garage service', 'aspect'), ('Wait time', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Wait time', 'aspect', 'positive')]"
User friendly Website. Competitive Prices. Good communications. Efficient service by ATS Euromaster.,garage service positive,value for money positive,,,,,,,,,,,,,user friendly website . competitive price . good communication . efficient service at euromaster .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Excellent prices and service,value for money positive,,,,,,,,,,,,,,excellent price service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
It was very straightforward and the garage was great. Hadn't even known about them before,garage service positive,,,,,,,,,,,,,,straightforward garage great . n't even known,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Use of local garage.,location positive,,,,,,,,,,,,,,use local garage .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
"Easy to use, also good price.",value for money positive,,,,,,,,,,,,,,"easy use , also good price .",[],[]
Outstanding values for money and a friendly professional service,value for money positive,,,,,,,,,,,,,,outstanding value money friendly professional service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great price and easy to use,value for money positive,,,,,,,,,,,,,,great price easy use,[],[]
Good price and easy to use a garage I was familiar with.,value for money positive,location positive,,,,,,,,,,,,,good price easy use garage familiar .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Booked slot then you couldn't provide it and had to re-arrange. Makes a bit of a mockery of an online booking system...,ease of booking negative,change of date negative,,,,,,,,,,,,,booked slot could n't provide re-arrange . make bit mockery online booking system ...,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'negative')]"
Good price and some good fitting centres,garage service positive,value for money positive,,,,,,,,,,,,,good price good fitting centre,[],[]
Competitively priced and easy to use fitting centre near me who were very professional.,location positive,value for money positive,garage service positive,,,,,,,,,,,,competitively priced easy use fitting centre near professional .,[],[]
Very easy to use. I was kept up to date every step of the way. Good product at good price. Thank you.,value for money positive,tyre quality positive,,,,,,,,,,,,,easy use . kept date every step way . good product good price . thank .,[],[]
"A really easy website to navigate, competitive prices and a great selection of garages to choose from for fitting.",value for money positive,,,,,,,,,,,,,,"really easy website navigate , competitive price great selection garage choose fitting .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
A very good experience and a set time booking,ease of booking positive,,,,,,,,,,,,,,good experience set time booking,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
"No hassle, no fuss and a good price",value for money positive,,,,,,,,,,,,,,"hassle , fuss good price",[],[]
"Good price ,good fitting service at ATS cleckheaton.",value for money positive,garage service positive,,,,,,,,,,,,,"good price , good fitting service at cleckheaton .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Quick and simple website from which to choose the tyres I wanted. Good value, good quality tyres. Whole process from choice to fitting was easy.",tyre quality positive,value for money positive,,,,,,,,,,,,,"quick simple website choose tyre wanted . good value , good quality tyre . whole process choice fitting easy .",[],[]
"Great choice, quick service and excellent garage for fitting",garage service positive,,,,,,,,,,,,,,"great choice , quick service excellent garage fitting","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The staff at the garage have no manners and swear openly in front of customers.,garage service negative,,,,,,,,,,,,,,staff garage manner swear openly front customer .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
Best prices and fitted by local company.,location positive,value for money positive,,,,,,,,,,,,,best price fitted local company .,[],[]
Had to wait in garage for more than an hour to get fitted. Booked a time slot to avoid any wait,wait time negative,ease of booking negative,,,,,,,,,,,,,wait garage hour get fitted . booked time slot avoid wait,"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
Very easy to use and good prices.,value for money positive,,,,,,,,,,,,,,easy use good price .,[],[]
"Had the tyres I wanted at the price I liked, and the fitting garage were as good as always.",garage service positive,value for money positive,,,,,,,,,,,,,"tyre wanted price liked , fitting garage good always .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Quick ordering, great service from the garage",garage service positive,,,,,,,,,,,,,,"quick ordering , great service garage","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Simple to order. Easy to book your appointment. Tyres turned up on time. Fitters did a great job.,delivery punctuality positive,ease of booking positive,,,,,,,,,,,,,simple order . easy book appointment . tyre turned time . fitter great job .,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Easy to use site. Good choice of tyres at a good price. Choice of tyre fitters near my home plentiful.,value for money positive,location positive,mobile fitter positive,,,,,,,,,,,,easy use site . good choice tyre good price . choice tyre fitter near home plentiful .,[],[]
It was easy to find the tyres I needed and close to home for fitting,location positive,,,,,,,,,,,,,,easy find tyre needed close home fitting,[],[]
Great service car ready on time and price was reasonable,garage service positive,value for money positive,,,,,,,,,,,,,great service car ready time price reasonable,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Great price and service,value for money positive,,,,,,,,,,,,,,great price service,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),ease of booking positive,length of fitting positive,advisor/agent service positive,advisoragent service positive,garage service positive,,,,,,,,,,staff [ redacted ] went beyond help organise booking ordering tire . staff within chosen garage also quick efficient . : ),"[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Quick, convenient, hassle-free. No need to phone around for prices and I'm confident I save money.",value for money positive,,,,,,,,,,,,,,"quick , convenient , hassle-free . need phone around price 'm confident save money .",[],[]
"PRICE WAS COMPETATIVE, FITTING WAS EASY",garage service positive,value for money positive,,,,,,,,,,,,,"price competative , fitting easy",[],[]
"[REDACTED]' website was easy to use, gave clear options for tyres suitable for my car. Tyres are good value for the good quality they are. The staff at the garage I chose were very friendly and flexible to fit my needs.",value for money positive,tyre quality positive,garage service positive,,,,,,,,,,,,"[ redacted ] ' website easy use , gave clear option tyre suitable car . tyre good value good quality . staff garage chose friendly flexible fit need .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
